Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,2114.7603506436067
FDW14,OUT017,1170.764002492284
NCN55,OUT010,2201.5508303329098
FDQ58,OUT017,2209.5509989125703
FDY38,OUT027,5053.966455510243
FDH56,OUT046,1837.7128760902456
FDL48,OUT018,1235.7632095829
FDC48,OUT027,2766.145248749137
FDN33,OUT045,1475.7073571298292
FDA36,OUT017,2721.293823412733
FDT44,OUT017,1501.8156213855868
FDQ56,OUT045,1288.67843014393
NCC54,OUT019,2420.343647048527
FDU11,OUT049,2225.7806075244202
DRL59,OUT013,676.5727702126824
FDM24,OUT049,2752.7519897956463
FDI57,OUT045,3122.9516119541977
DRC12,OUT018,3500.218984315842
NCM42,OUT027,3185.989435724735
FDA46,OUT010,1318.7023352280196
FDA31,OUT013,2435.958288171085
NCJ31,OUT035,3170.324119242931
FDG52,OUT046,699.2462911055977
NCL19,OUT019,1102.5675597236361
FDS10,OUT035,2472.519168407301
FDX22,OUT010,1853.2727277396411
NCF19,OUT035,393.4424882834944
NCE06,OUT046,2429.909688397167
DRC27,OUT046,3813.9287686011353
FDE21,OUT035,1494.403937897834
NCR42,OUT019,-674.7411046760753
FDX51,OUT018,3589.0472412813665
NCR06,OUT018,1172.3945095847992
FDU31,OUT027,4934.7562333244205
FDU59,OUT017,2234.5725799453908
FDR03,OUT027,4761.2860649330705
FDS49,OUT027,2662.521618603994
FDD48,OUT010,293.65902037201863
NCF18,OUT017,2663.491640879964
NCD43,OUT027,3105.8477241771384
NCD54,OUT018,2707.57155336375
FDY19,OUT010,300.69675309673676
NCY54,OUT017,2255.413481438429
NCL19,OUT018,2754.0524181255064
FDP23,OUT010,1891.4766415324584
FDC26,OUT013,1430.6025544596534
FDR14,OUT010,-967.953237830927
NCS41,OUT035,2481.2184818182636
FDF41,OUT035,3387.211329340773
FDU34,OUT046,1884.8773209201654
DRH11,OUT046,869.0743678056635
FDM03,OUT013,1348.192547195203
FDS31,OUT017,2619.4119266529055
FDJ20,OUT017,1616.6351774242298
FDV44,OUT027,4460.501601830481
FDG02,OUT049,3380.0524015382985
FDA09,OUT013,2620.1105865192853
FDT04,OUT013,303.68660551960204
FDL58,OUT019,2896.405341216546
FDE52,OUT045,1522.9489867203579
FDW12,OUT035,1971.2247237305364
FDL51,OUT017,3138.6407620156933
NCY42,OUT027,3698.6666310668447
FDR07,OUT017,1200.1367263472057
FDN40,OUT045,2366.531247365935
FDB35,OUT027,2891.4127622191304
FDA22,OUT017,2275.3946957396183
NCL06,OUT046,4029.415372003485
FDI35,OUT013,2629.5990766590903
NCW42,OUT045,3465.7636917818663
NCX06,OUT049,3222.6875383408437
FDC37,OUT027,3164.245289221274
FDZ14,OUT018,2421.421727266732
DRG49,OUT049,4210.905460320459
NCG06,OUT045,4049.3761137954884
DRC36,OUT045,2835.2399025176223
FDV21,OUT019,438.7562432201387
FDB53,OUT046,2163.8183476253976
DRP47,OUT019,2539.505831343745
FDA14,OUT013,2030.57928105284
DRC24,OUT035,2085.574372142252
FDW21,OUT018,2145.551243802104
NCH29,OUT046,1515.9799473609442
FDU58,OUT013,2819.6701940945154
FDY27,OUT017,2537.966553055043
FDV56,OUT035,1438.8113807348507
FDT59,OUT046,3622.132622347675
FDB23,OUT046,3605.8568127706435
FDR49,OUT045,627.4224461651513
FDB03,OUT010,2027.3802268746067
FDN39,OUT045,2642.85353572751
FDX02,OUT027,4920.655972274706
FDQ16,OUT027,3145.0122496922945
FDU35,OUT018,1967.362376873692
NCT29,OUT013,1667.2367064888972
FDZ27,OUT046,780.5027019967192
FDN57,OUT017,1916.701201399013
FDA03,OUT018,2779.3571468728533
FDZ36,OUT045,2962.8634263103418
NCU05,OUT013,1036.8894801851038
FDT39,OUT018,2926.3606480650533
FDK60,OUT017,1237.0745419556606
FDZ25,OUT017,2458.9174737843564
FDG12,OUT046,2001.640176332488
DRB01,OUT019,1740.5277442669467
NCC43,OUT027,5288.329567719502
FDX13,OUT019,2684.6449827386487
FDM22,OUT049,1265.82009307082
FDJ03,OUT027,2232.979647571292
FDU14,OUT018,4322.507844535388
FDB33,OUT010,1028.5144985852214
FDP27,OUT046,2851.648167805788
FDO38,OUT010,-397.67048486074435
FDE28,OUT027,5000.704176406827
FDO27,OUT035,990.8399227051048
DRL23,OUT027,3206.6478487234567
FDS28,OUT046,857.7016921449758
FDX24,OUT013,1290.7069170342359
FDZ02,OUT035,1212.8387911140665
FDL46,OUT045,1847.0124344488663
FDS60,OUT027,4264.930394023682
NCO06,OUT017,154.80983396650015
FDO16,OUT035,1013.2866996907258
FDC60,OUT049,1699.474267878828
FDA48,OUT018,3792.9982549118345
FDZ36,OUT027,4386.100976811547
FDK27,OUT045,1977.9191296585454
FDW23,OUT018,1018.2438227648813
FDM14,OUT018,2225.6864994137054
FDM14,OUT013,1532.3656695403001
FDW60,OUT018,3332.5118954700365
FDE21,OUT013,1647.03327549919
NCM42,OUT035,1371.2392696868624
FDY59,OUT010,-20.766138613767225
DRI49,OUT049,1480.692252200049
FDT28,OUT019,1126.7673885486222
FDQ22,OUT018,1099.7612012701363
FDR60,OUT049,1450.0795758987933
FDC50,OUT019,57.551109900305164
FDV24,OUT013,2085.1662896258235
DRF48,OUT010,1467.2883723764262
FDQ47,OUT046,430.4494421237903
DRN36,OUT049,1926.2519755732324
